station,phi_from_Q,phi_vec,phi_err,dt,dt_err,src_pol,src_pol_err,Q_w,ray_back_azi,ray_inc
WS02,-90.0,[ 48.73  90.  ],90.5,0.0,0.02,48.2140951563,15.2797490071,0.0,318.73,128.3
WS03,-90.0,[-52.83  90.  ],90.5,0.0,0.02,88.3787628029,7.08473458165,,217.17,156.6
WS08,73.0,[-26.1  90. ],2.0,0.005,0.0005,75.8333786248,4.80606509335,-0.764297739604,80.9,136.5
