station,phi_from_Q,phi_from_N,phi_from_U,phi_err,dt,dt_err,src_pol_from_N,src_pol_from_U,src_pol_from_N_err,src_pol_from_U_err,Q_w,ray_back_azi,ray_inc
WS04,-83.0,47.96,90.0,10.0,0.012,0.0005,87.1730025128,84.0058894976,9.20619403301,21.6745204838,-0.402887606998,310.96,131.2
WS05,35.0,44.11,90.0,7.0,0.0065,0.00075,108.442257829,90.6900278004,8.27271228734,8.93288220343,-0.890005611815,189.11,138.6
WS16,-9.0,28.86,90.0,3.5,0.00675,0.00075,103.262148445,94.5595286515,18.8276884139,14.7996062234,-0.434314575051,37.86,122.8
