station,phi_from_Q,phi_from_N,phi_from_U,phi_err,dt,dt_err,src_pol_from_N,src_pol_from_U,src_pol_from_N_err,src_pol_from_U_err,Q_w,lambda2/lambda1 ratio,ray_back_azi,ray_inc
synth,52.0,52.0,90.0,7.0,1.68,0.32,34.7692808885,89.9993674531,1.21539839371,0.00253955888576,,0.00675171173116,0.0,0.0
synth,-60.0,-60.0,90.0,91.0,0.6,1.0,35.4395226796,90.0001503302,1.05730711366,0.00252861056466,,0.00587392840921,0.0,0.0
